,BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
1370,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë,7019,7052,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1368,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,25,Plasmanet ne Institucionet kreditore,0,4004,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1369,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve,94755,91457,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1371,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet,2128,2228,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1372,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme,274,282,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1373,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,30,Pasuritë tjera,136,136,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1374,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë,124049,127605,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1376,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve,78854,73566,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1375,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave,23088,30172,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1377,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,36,Detyrimet tjera,1205,1063,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1378,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet,103147,104801,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1379,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,38,Kapitali aksionar,20000,25000,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1380,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake,220,220,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1381,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual,682,2416,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1382,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,44,Gjithsej ekuiteti i aksionarëve,20902,22804,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
1383,9,2023-12-31,2023-12-31,BALANCE_SHEET,BALANCE,45,aksionarëve,124049,127605,1,zba_bs_31.12.2023.pdf,Ziraat Bank,2026-03-18
410,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,1,Të hyrat nga interesi,5088,6850,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
419,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,10,Gjithsej të hyrat,1701,2201,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
420,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,12,Provizionet për humbjet nga kreditë,937,4467,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
421,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,13,Provizionet tjera,37,4,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
422,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,14,Fitimi/(humbja) para tatimit,801,2270,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
423,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,15,Shpenzimet e tatimit në fitim,119,146,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
424,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,15,Shpenzimet e tatimit të shtyer,0,0,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
425,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,16,Fitimi/(humbja) neto,682,2416,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
426,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,17,Të ardhurat tjera gjithëpërfshirëse,0,0,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
427,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,19,Gjithsej të ardhurat gjithëpërfshirëse,682,2416,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
411,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,2,Shpenzimet e interesit,1611,2302,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
412,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,3,Neto të hyrat nga interesi,3477,4549,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
413,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,4,Të hyrat nga tarifat dhe komisionet,155,275,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
414,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve,160,214,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
415,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,6,Neto të hyrat nga tarifat dhe komisionet,5,61,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
416,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,7,Neto të hyrat nga tregtimi,7,17,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
417,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,8,Neto të hyrat nga instrumentet tjera financiare,1,1,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
418,9,2023-12-31,2023-12-31,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet) tjera operative,1779,2426,1,zba_is_31.12.2023.pdf,Ziraat Bank,2026-03-18
860,9,2024-03-31,2024-03-31,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur,0,1738,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
188,9,2024-03-31,2024-03-31,INCOME_STATEMENT,INCOME,12,Provizionet për humbjet nga kreditë,0,523,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
189,9,2024-03-31,2024-03-31,INCOME_STATEMENT,INCOME,13,Provizionet tjera,0,74,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
185,9,2024-03-31,2024-03-31,INCOME_STATEMENT,INCOME,2,Shpenzimet e interesit,0,2125,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
186,9,2024-03-31,2024-03-31,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve,0,181,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
187,9,2024-03-31,2024-03-31,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet) tjera operative,0,1674,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
861,9,2024-06-30,2024-06-30,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur,0,1738,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
193,9,2024-06-30,2024-06-30,INCOME_STATEMENT,INCOME,13,Provizionet tjera,0,36,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
190,9,2024-06-30,2024-06-30,INCOME_STATEMENT,INCOME,2,Shpenzimet e interesit,0,1318,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
191,9,2024-06-30,2024-06-30,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve,0,115,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
192,9,2024-06-30,2024-06-30,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet) tjera operative,0,1601,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
862,9,2024-09-30,2024-09-30,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur,0,1738,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
198,9,2024-09-30,2024-09-30,INCOME_STATEMENT,INCOME,13,Provizionet tjera,0,5,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
194,9,2024-09-30,2024-09-30,INCOME_STATEMENT,INCOME,2,Shpenzimet e interesit,0,648,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
195,9,2024-09-30,2024-09-30,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve,0,62,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
196,9,2024-09-30,2024-09-30,INCOME_STATEMENT,INCOME,6,Neto të hyrat nga tarifat dhe komisionet,0,3,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
197,9,2024-09-30,2024-09-30,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet) tjera operative,0,819,1,zba_is_31.12.2024.pdf,Ziraat Bank,2026-03-18
863,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në,21624,10348,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
864,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,823,2488,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
867,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë,7052,7031,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
865,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,25,Plasmanet ne Institucionet kreditore,4004,3004,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
866,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve,91743,92334,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
868,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet,1343,2291,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
869,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme,282,281,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
870,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,29,Pasuritë tatimore të shtyra,213,213,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
871,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,30,Pasuritë tjera,1096,255,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
872,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë,128179,118246,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
874,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve,73555,81859,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
873,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave,3030,11664,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
875,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,36,Detyrimet tjera,1191,1177,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
876,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet,104918,94700,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
877,9,2024-12-31,2024-12-31,BALANCE_SHEET,BALANCE,38,Kapitali aksionar,25000,25000,1,zba_bs_31.12.2024.pdf,Ziraat Bank,2026-03-18
