,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,STATEMENT_TYPE,BANK_ID,CURR_ID,CATEGORY_TYPE,DATA_SOURCE,EXTRACTION_DATE,REPORT_DATE
45,Net trading profit,0.0,1.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,7,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
46,Net other operating income (expense),0.0,0.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,9,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
47,Gjithsej të hyrat/Total income,1.0,45.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,10,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
48,Impairment losses on financial assets,0.0,0.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,11,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
49,Fitimi/(humbja) para tatimit / Profit/(loss) before taxation,7.0,5.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,14,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
50,Fitimi/(humbja) neto / Net profit/(loss),7.0,5.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,16,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
51,Total comprehensive income/(loss),75.0,102.0,2025-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2025.pdf,19,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-12-31
52,Të hyrat nga interesi / Interest income,3.0,60.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,1,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
53,Shpenzimet e interesit / Interest expense,0.0,0.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,2,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
54,Neto të hyrat nga interesi / Net interest income,2.0,27.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,3,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
55,Fee and commission income,1.0,82.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,4,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
56,Fee and commission expense,0.0,0.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,5,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
57,Net fee and commission income,1.0,20.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,6,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
58,Net trading profit,0.0,0.0,2024-12-31,Bilanci-dhe-Treguesit-financiar-TM4-2024.pdf,7,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-12-31
