INCOME_CATEGORY,PREVIOUS_INCOME_VALUE,CURRENT_INCOME_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Gjithsej të hyrat,75,178,2018-06-30,zba_is_31.12.2018.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,0,45,2018-06-30,zba_is_31.12.2018.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,76,223,2018-06-30,zba_is_31.12.2018.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,76,223,2018-06-30,zba_is_31.12.2018.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,76,223,2018-06-30,zba_is_31.12.2018.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,511,915,2018-09-30,zba_is_31.12.2018.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,107,200,2018-09-30,zba_is_31.12.2018.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,404,715,2018-09-30,zba_is_31.12.2018.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,14,36,2018-09-30,zba_is_31.12.2018.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,6,13,2018-09-30,zba_is_31.12.2018.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,8,23,2018-09-30,zba_is_31.12.2018.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,0,0,2018-09-30,zba_is_31.12.2018.pdf,7,9,INCOME_STATEMENT
Neto të hyrat nga instrumentet tjera financiare,1,2,2018-09-30,zba_is_31.12.2018.pdf,8,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,592,927,2018-09-30,zba_is_31.12.2018.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,178,186,2018-09-30,zba_is_31.12.2018.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,45,167,2018-09-30,zba_is_31.12.2018.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,223,353,2018-09-30,zba_is_31.12.2018.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,223,353,2018-09-30,zba_is_31.12.2018.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,223,353,2018-09-30,zba_is_31.12.2018.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,915,1440,2018-12-31,zba_is_31.12.2018.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,200,335,2018-12-31,zba_is_31.12.2018.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,715,1105,2018-12-31,zba_is_31.12.2018.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,36,54,2018-12-31,zba_is_31.12.2018.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,13,126,2018-12-31,zba_is_31.12.2018.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,23,72,2018-12-31,zba_is_31.12.2018.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,0,1,2018-12-31,zba_is_31.12.2018.pdf,7,9,INCOME_STATEMENT
Neto të hyrat nga instrumentet tjera financiare,2,3,2018-12-31,zba_is_31.12.2018.pdf,8,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,927,1275,2018-12-31,zba_is_31.12.2018.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,186,238,2018-12-31,zba_is_31.12.2018.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,167,276,2018-12-31,zba_is_31.12.2018.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,353,514,2018-12-31,zba_is_31.12.2018.pdf,14,9,INCOME_STATEMENT
Shpenzimet e tatimit në fitim,0,56,2018-12-31,zba_is_31.12.2018.pdf,15,9,INCOME_STATEMENT
Fitimi/(humbja) neto,353,458,2018-12-31,zba_is_31.12.2018.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,353,458,2018-12-31,zba_is_31.12.2018.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,1440,586,2019-03-31,zba_is_31.12.2019.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,335,165,2019-03-31,zba_is_31.12.2019.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,1105,421,2019-03-31,zba_is_31.12.2019.pdf,3,9,INCOME_STATEMENT
