BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake,677,677,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual,172,382,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,44,Gjithsej ekuiteti i aksionarëve,9,9,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,BALANCE_SHEET,BALANCE,45,Gjithsej detyrimet dhe ekuiteti i aksionarëve,12,17,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,INCOME_STATEMENT,INCOME,10,Gjithsej të hyrat,0,167,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,INCOME_STATEMENT,INCOME,12,Provizionet për humbjet nga kreditë,0,6,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,INCOME_STATEMENT,INCOME,14,Fitimi/(humbja) para tatimit,0,172,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,INCOME_STATEMENT,INCOME,16,Fitimi/(humbja) neto,0,172,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,INCOME_STATEMENT,INCOME,2,Shpenzimet e interesit,0,3,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve,0,1,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-06-30,2016-06-30,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet) tjera operative,0,212,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në,3838,996,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,559,3,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë,5956,7005,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve,5843,7348,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet,530,497,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme,697,666,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,30,Pasuritë tjera,3,2,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë,17424,16517,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve,3424,3518,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave,5003,4202,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,36,Detyrimet tjera,57,32,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet,8483,7751,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,38,Kapitali aksionar,10000,10000,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake,677,677,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual,382,557,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
