BALANCE_CATEGORY,PREVIOUS_BALANCE_VALUE,CURRENT_BALANCE_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Kreditë dhe paradhëniet ndaj klientëve,14077,18487,2018-06-30,zba_bs_31.12.2018.pdf,26,9,BALANCE_SHEET
Patundshmëritë dhe pajisjet,345,443,2018-06-30,zba_bs_31.12.2018.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,406,362,2018-06-30,zba_bs_31.12.2018.pdf,28,9,BALANCE_SHEET
Pasuritë tjera,133,802,2018-06-30,zba_bs_31.12.2018.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,24036,30419,2018-06-30,zba_bs_31.12.2018.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,8964,11998,2018-06-30,zba_bs_31.12.2018.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,6808,10305,2018-06-30,zba_bs_31.12.2018.pdf,33,9,BALANCE_SHEET
Detyrimet tjera,72,72,2018-06-30,zba_bs_31.12.2018.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,15845,22375,2018-06-30,zba_bs_31.12.2018.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10000,10000,2018-06-30,zba_bs_31.12.2018.pdf,38,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,1733,1733,2018-06-30,zba_bs_31.12.2018.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,76,223,2018-06-30,zba_bs_31.12.2018.pdf,42,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,8192,8044,2018-06-30,zba_bs_31.12.2018.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,24036,30419,2018-06-30,zba_bs_31.12.2018.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,1990,2617,2018-09-30,zba_bs_31.12.2018.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,1990,837,2018-09-30,zba_bs_31.12.2018.pdf,21,9,BALANCE_SHEET
Investimet në letra me vlerë,6345,6998,2018-09-30,zba_bs_31.12.2018.pdf,23,9,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,18487,29159,2018-09-30,zba_bs_31.12.2018.pdf,26,9,BALANCE_SHEET
Patundshmëritë dhe pajisjet,443,524,2018-09-30,zba_bs_31.12.2018.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,362,382,2018-09-30,zba_bs_31.12.2018.pdf,28,9,BALANCE_SHEET
Pasuritë tjera,802,268,2018-09-30,zba_bs_31.12.2018.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,30419,40786,2018-09-30,zba_bs_31.12.2018.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,11998,13257,2018-09-30,zba_bs_31.12.2018.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,10305,19485,2018-09-30,zba_bs_31.12.2018.pdf,33,9,BALANCE_SHEET
Detyrimet tjera,72,130,2018-09-30,zba_bs_31.12.2018.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,22375,32871,2018-09-30,zba_bs_31.12.2018.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10000,10000,2018-09-30,zba_bs_31.12.2018.pdf,38,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,1733,1733,2018-09-30,zba_bs_31.12.2018.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,223,353,2018-09-30,zba_bs_31.12.2018.pdf,42,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,8044,7915,2018-09-30,zba_bs_31.12.2018.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,30419,40786,2018-09-30,zba_bs_31.12.2018.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,2617,2210,2018-12-31,zba_bs_31.12.2018.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,837,307,2018-12-31,zba_bs_31.12.2018.pdf,21,9,BALANCE_SHEET
Investimet në letra me vlerë,6998,6851,2018-12-31,zba_bs_31.12.2018.pdf,23,9,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,29159,32388,2018-12-31,zba_bs_31.12.2018.pdf,26,9,BALANCE_SHEET
Patundshmëritë dhe pajisjet,524,847,2018-12-31,zba_bs_31.12.2018.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,382,362,2018-12-31,zba_bs_31.12.2018.pdf,28,9,BALANCE_SHEET
Pasuritë tjera,268,234,2018-12-31,zba_bs_31.12.2018.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,40786,43200,2018-12-31,zba_bs_31.12.2018.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,13257,14922,2018-12-31,zba_bs_31.12.2018.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,19485,20395,2018-12-31,zba_bs_31.12.2018.pdf,33,9,BALANCE_SHEET
Detyrimet tjera,130,73,2018-12-31,zba_bs_31.12.2018.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,32871,35390,2018-12-31,zba_bs_31.12.2018.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10000,10000,2018-12-31,zba_bs_31.12.2018.pdf,38,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,1733,1733,2018-12-31,zba_bs_31.12.2018.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,353,458,2018-12-31,zba_bs_31.12.2018.pdf,42,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,7915,7809,2018-12-31,zba_bs_31.12.2018.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,40786,43200,2018-12-31,zba_bs_31.12.2018.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,2210,7189,2019-03-31,zba_bs_31.12.2019.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,307,1738,2019-03-31,zba_bs_31.12.2019.pdf,21,9,BALANCE_SHEET
