BALANCE_CATEGORY,PREVIOUS_BALANCE_VALUE,CURRENT_BALANCE_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Fondet tjera të huazuara,1069.0,1013.0,2018-06-30,be_bs_30.06.2018.pdf,34,3,BALANCE_SHEET
Detyrimet tatimore të shtyra,0.0,0.0,2018-06-30,be_bs_30.06.2018.pdf,35,3,BALANCE_SHEET
Detyrimet tjera,723.0,513.0,2018-06-30,be_bs_30.06.2018.pdf,36,3,BALANCE_SHEET
Gjithsej detyrimet,222574.0,223132.0,2018-06-30,be_bs_30.06.2018.pdf,37,3,BALANCE_SHEET
Kapitali aksionar,21337.0,24544.0,2018-06-30,be_bs_30.06.2018.pdf,38,3,BALANCE_SHEET
Rezervat e kapitalit,13.0,-122.0,2018-06-30,be_bs_30.06.2018.pdf,40,3,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,4706.0,35.0,2018-06-30,be_bs_30.06.2018.pdf,41,3,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,1100.0,2019.0,2018-06-30,be_bs_30.06.2018.pdf,42,3,BALANCE_SHEET
Përbërësit tjerë të ekuitetit,0.0,0.0,2018-06-30,be_bs_30.06.2018.pdf,43,3,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,27156.0,26475.0,2018-06-30,be_bs_30.06.2018.pdf,44,3,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,249730.0,249607.0,2018-06-30,be_bs_30.06.2018.pdf,45,3,BALANCE_SHEET
,0.0,0.0,2019-06-30,be_bs_30.06.2019.pdf,,3,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,70052.0,48371.0,2019-06-30,be_bs_30.06.2019.pdf,20,3,BALANCE_SHEET
Kërkesat ndaj bankave,10021.0,12791.0,2019-06-30,be_bs_30.06.2019.pdf,21,3,BALANCE_SHEET
Bonot e thesarit,5022.0,5122.0,2019-06-30,be_bs_30.06.2019.pdf,22,3,BALANCE_SHEET
Investimet në letra me vlerë,20006.0,19453.0,2019-06-30,be_bs_30.06.2019.pdf,23,3,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,171922.0,190627.0,2019-06-30,be_bs_30.06.2019.pdf,26,3,BALANCE_SHEET
Patundshmëritë dhe pajisjet,6181.0,6823.0,2019-06-30,be_bs_30.06.2019.pdf,27,3,BALANCE_SHEET
Pasuritë e paprekshme,616.0,578.0,2019-06-30,be_bs_30.06.2019.pdf,28,3,BALANCE_SHEET
Pasuritë tatimore të shtyra,0.0,0.0,2019-06-30,be_bs_30.06.2019.pdf,29,3,BALANCE_SHEET
Pasuritë tjera,1519.0,1429.0,2019-06-30,be_bs_30.06.2019.pdf,30,3,BALANCE_SHEET
Gjithsej pasuritë,285339.0,285194.0,2019-06-30,be_bs_30.06.2019.pdf,31,3,BALANCE_SHEET
Depozitat e klientëve,251283.0,250168.0,2019-06-30,be_bs_30.06.2019.pdf,32,3,BALANCE_SHEET
Detyrimet ndaj bankave,2062.0,2066.0,2019-06-30,be_bs_30.06.2019.pdf,33,3,BALANCE_SHEET
Fondet tjera të huazuara,1069.0,1013.0,2019-06-30,be_bs_30.06.2019.pdf,34,3,BALANCE_SHEET
Detyrimet tatimore të shtyra,0.0,0.0,2019-06-30,be_bs_30.06.2019.pdf,35,3,BALANCE_SHEET
Detyrimet tjera,463.0,776.0,2019-06-30,be_bs_30.06.2019.pdf,36,3,BALANCE_SHEET
Gjithsej detyrimet,254877.0,254022.0,2019-06-30,be_bs_30.06.2019.pdf,37,3,BALANCE_SHEET
Kapitali aksionar,24544.0,24544.0,2019-06-30,be_bs_30.06.2019.pdf,38,3,BALANCE_SHEET
Rezervat e kapitalit,143.0,238.0,2019-06-30,be_bs_30.06.2019.pdf,40,3,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,4718.0,4718.0,2019-06-30,be_bs_30.06.2019.pdf,41,3,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,1058.0,1672.0,2019-06-30,be_bs_30.06.2019.pdf,42,3,BALANCE_SHEET
Përbërësit tjerë të ekuitetit,0.0,0.0,2019-06-30,be_bs_30.06.2019.pdf,43,3,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,30463.0,31171.0,2019-06-30,be_bs_30.06.2019.pdf,44,3,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,285339.0,285194.0,2019-06-30,be_bs_30.06.2019.pdf,45,3,BALANCE_SHEET
,0.0,0.0,2020-06-30,be_bs_30.06.2020.pdf,,3,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,44407.0,31382.0,2020-06-30,be_bs_30.06.2020.pdf,20,3,BALANCE_SHEET
Kërkesat ndaj bankave,13302.0,9811.0,2020-06-30,be_bs_30.06.2020.pdf,21,3,BALANCE_SHEET
Bonot e thesarit,0.0,0.0,2020-06-30,be_bs_30.06.2020.pdf,22,3,BALANCE_SHEET
Investimet në letra me vlerë,35577.0,41826.0,2020-06-30,be_bs_30.06.2020.pdf,23,3,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,213370.0,223647.0,2020-06-30,be_bs_30.06.2020.pdf,26,3,BALANCE_SHEET
Patundshmëritë dhe pajisjet,7224.0,9382.0,2020-06-30,be_bs_30.06.2020.pdf,27,3,BALANCE_SHEET
Pasuritë e paprekshme,492.0,514.0,2020-06-30,be_bs_30.06.2020.pdf,28,3,BALANCE_SHEET
Pasuritë tjera,2776.0,3060.0,2020-06-30,be_bs_30.06.2020.pdf,30,3,BALANCE_SHEET
Gjithsej pasuritë,317148.0,319621.0,2020-06-30,be_bs_30.06.2020.pdf,31,3,BALANCE_SHEET
Depozitat e klientëve,278694.0,279593.0,2020-06-30,be_bs_30.06.2020.pdf,32,3,BALANCE_SHEET
Detyrimet ndaj bankave,2102.0,3103.0,2020-06-30,be_bs_30.06.2020.pdf,33,3,BALANCE_SHEET
Fondet tjera të huazuara,1069.0,0.0,2020-06-30,be_bs_30.06.2020.pdf,34,3,BALANCE_SHEET
Detyrimet tatimore të shtyra,0.0,0.0,2020-06-30,be_bs_30.06.2020.pdf,35,3,BALANCE_SHEET
Detyrimet tjera,648.0,2920.0,2020-06-30,be_bs_30.06.2020.pdf,36,3,BALANCE_SHEET
Gjithsej detyrimet,282513.0,285616.0,2020-06-30,be_bs_30.06.2020.pdf,37,3,BALANCE_SHEET
Kapitali aksionar,27761.0,27761.0,2020-06-30,be_bs_30.06.2020.pdf,38,3,BALANCE_SHEET
Rezervat e kapitalit,227.0,-170.0,2020-06-30,be_bs_30.06.2020.pdf,40,3,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,5403.0,5361.0,2020-06-30,be_bs_30.06.2020.pdf,41,3,BALANCE_SHEET
